Blocks,512,1024,1536,2048,
2,0.745,5.975,20.155,48.676,
4,0.818,6.245,20.115,47.849,
8,0.738,5.99,20.141,47.55,
16,0.732,6.133,20.175,48.163,
32,0.776,6.133,20.176,47.371,
64,0.748,5.974,19.93,47.712,
128,0.77,6.006,20.307,48.161,
256,0.856,6.158,20.612,48.64,
512,1.088,6.758,21.463,49.504,
1024,0,8.735,0,54.323,
